#         Lambda    Transmission
          22000.0000            0.807471
          22005.0000            0.806892
          22010.0000            0.806368
          22015.0000            0.805459
          22020.0000            0.804647
          22025.0000            0.803950
          22030.0000            0.803392
          22035.0000            0.802640
          22040.0000            0.802096
          22045.0000            0.801621
          22050.0000            0.800786
          22055.0000            0.800184
          22060.0000            0.799737
          22065.0000            0.799236
          22070.0000            0.798691
          22075.0000            0.798329
          22080.0000            0.797840
          22085.0000            0.797457
          22090.0000            0.797122
          22095.0000            0.796676
          22100.0000            0.796503
          22105.0000            0.796274
          22110.0000            0.795809
          22115.0000            0.795492
          22120.0000            0.795194
          22125.0000            0.795288
          22130.0000            0.794990
          22135.0000            0.794736
          22140.0000            0.794788
          22145.0000            0.794523
          22150.0000            0.794510
          22155.0000            0.794150
          22160.0000            0.794106
          22165.0000            0.794060
          22170.0000            0.793871
          22175.0000            0.793575
          22180.0000            0.793452
          22185.0000            0.793311
          22190.0000            0.793306
          22195.0000            0.793116
          22200.0000            0.792982
          22205.0000            0.792606
          22210.0000            0.792519
          22215.0000            0.792307
          22220.0000            0.792216
          22225.0000            0.791885
          22230.0000            0.791769
          22235.0000            0.791397
          22240.0000            0.791501
          22245.0000            0.790859
          22250.0000            0.790877
          22255.0000            0.790659
          22260.0000            0.790372
          22265.0000            0.790422
          22270.0000            0.790192
          22275.0000            0.789863
          22280.0000            0.789763
          22285.0000            0.789641
          22290.0000            0.789290
          22295.0000            0.789380
          22300.0000            0.789414
          22305.0000            0.789265
          22310.0000            0.789392
          22315.0000            0.789391
          22320.0000            0.789328
          22325.0000            0.789145
          22330.0000            0.789274
          22335.0000            0.789653
          22340.0000            0.789643
          22345.0000            0.789976
          22350.0000            0.790068
          22355.0000            0.790116
          22360.0000            0.790354
          22365.0000            0.790695
          22370.0000            0.791007
          22375.0000            0.791123
          22380.0000            0.791431
          22385.0000            0.791789
          22390.0000            0.792203
          22395.0000            0.792574
          22400.0000            0.792777
          22405.0000            0.793116
          22410.0000            0.793800
          22415.0000            0.794044
          22420.0000            0.794269
          22425.0000            0.794857
          22430.0000            0.795222
          22435.0000            0.795580
          22440.0000            0.796090
          22445.0000            0.796917
          22450.0000            0.796998
          22455.0000            0.797333
          22460.0000            0.797914
          22465.0000            0.798260
          22470.0000            0.798848
          22475.0000            0.799248
          22480.0000            0.799798
          22485.0000            0.800428
          22490.0000            0.800616
          22495.0000            0.800995
          22500.0000            0.801509
          22505.0000            0.802189
          22510.0000            0.802699
          22515.0000            0.803139
          22520.0000            0.803597
          22525.0000            0.804354
          22530.0000            0.804501
          22535.0000            0.805233
          22540.0000            0.805602
          22545.0000            0.805909
          22550.0000            0.806716
          22555.0000            0.806860
          22560.0000            0.807519
          22565.0000            0.807970
          22570.0000            0.808467
          22575.0000            0.809025
          22580.0000            0.809347
          22585.0000            0.809869
          22590.0000            0.810187
          22595.0000            0.810732
          22600.0000            0.811232
          22605.0000            0.811488
          22610.0000            0.811808
          22615.0000            0.812226
          22620.0000            0.812606
          22625.0000            0.813034
          22630.0000            0.813406
          22635.0000            0.813973
          22640.0000            0.814381
          22645.0000            0.814765
          22650.0000            0.815179
          22655.0000            0.815555
          22660.0000            0.815879
          22665.0000            0.816189
          22670.0000            0.816824
          22675.0000            0.817130
          22680.0000            0.817469
          22685.0000            0.817908
          22690.0000            0.818371
          22695.0000            0.818558
          22700.0000            0.819033
          22705.0000            0.819873
          22710.0000            0.820287
          22715.0000            0.820731
          22720.0000            0.821314
          22725.0000            0.821614
          22730.0000            0.822043
          22735.0000            0.822588
          22740.0000            0.823356
          22745.0000            0.823601
          22750.0000            0.824092
          22755.0000            0.824501
          22760.0000            0.825043
          22765.0000            0.825562
          22770.0000            0.826142
          22775.0000            0.826521
          22780.0000            0.826997
          22785.0000            0.827311
          22790.0000            0.827578
          22795.0000            0.827871
          22800.0000            0.828241
          22805.0000            0.828399
          22810.0000            0.828751
          22815.0000            0.828754
          22820.0000            0.828896
          22825.0000            0.829201
          22830.0000            0.828942
          22835.0000            0.828964
          22840.0000            0.828894
          22845.0000            0.828518
          22850.0000            0.828766
          22855.0000            0.828683
          22860.0000            0.828759
          22865.0000            0.828413
          22870.0000            0.828310
          22875.0000            0.828183
          22880.0000            0.828075
          22885.0000            0.828022
          22890.0000            0.827762
          22895.0000            0.827684
          22900.0000            0.827622
          22905.0000            0.827198
          22910.0000            0.827015
          22915.0000            0.827037
          22920.0000            0.826738
          22925.0000            0.826689
          22930.0000            0.826378
          22935.0000            0.826319
          22940.0000            0.826100
          22945.0000            0.825593
          22950.0000            0.825679
          22955.0000            0.825422
          22960.0000            0.825078
          22965.0000            0.824778
          22970.0000            0.824514
          22975.0000            0.824238
          22980.0000            0.823717
          22985.0000            0.823300
          22990.0000            0.822981
          22995.0000            0.822777
          23000.0000            0.822397
          23005.0000            0.821905
          23010.0000            0.821615
          23015.0000            0.820940
          23020.0000            0.820605
          23025.0000            0.819949
          23030.0000            0.819264
          23035.0000            0.818535
          23040.0000            0.817622
          23045.0000            0.816620
          23050.0000            0.815183
          23055.0000            0.814625
          23060.0000            0.813215
          23065.0000            0.812023
          23070.0000            0.809958
          23075.0000            0.808825
          23080.0000            0.807487
          23085.0000            0.804439
          23090.0000            0.802021
          23095.0000            0.799458
          23100.0000            0.796886
          23105.0000            0.793546
          23110.0000            0.789869
          23115.0000            0.785705
          23120.0000            0.781164
          23125.0000            0.777419
          23130.0000            0.772585
          23135.0000            0.765812
          23140.0000            0.762449
          23145.0000            0.757123
          23150.0000            0.749930
          23155.0000            0.743199
          23160.0000            0.736498
          23165.0000            0.730019
          23170.0000            0.722114
          23175.0000            0.712953
          23180.0000            0.704042
          23185.0000            0.695691
          23190.0000            0.683881
          23195.0000            0.677649
          23200.0000            0.670219
          23205.0000            0.653098
          23210.0000            0.645394
          23215.0000            0.636290
          23220.0000            0.623022
          23225.0000            0.611206
          23230.0000            0.599071
          23235.0000            0.585801
          23240.0000            0.571673
          23245.0000            0.559727
          23250.0000            0.546203
          23255.0000            0.533765
          23260.0000            0.516286
          23265.0000            0.506893
          23270.0000            0.497368
          23275.0000            0.477169
          23280.0000            0.463503
          23285.0000            0.451004
          23290.0000            0.437747
          23295.0000            0.423324
          23300.0000            0.407985
          23305.0000            0.394099
          23310.0000            0.379773
          23315.0000            0.368120
          23320.0000            0.355112
          23325.0000            0.337882
          23330.0000            0.329376
          23335.0000            0.319101
          23340.0000            0.304963
          23345.0000            0.293419
          23350.0000            0.282500
          23355.0000            0.274268
          23360.0000            0.260514
          23365.0000            0.248307
          23370.0000            0.238048
          23375.0000            0.228766
          23380.0000            0.217039
          23385.0000            0.210241
          23390.0000            0.200964
          23395.0000            0.189417
          23400.0000            0.183476
          23405.0000            0.175338
          23410.0000            0.168323
          23415.0000            0.158793
          23420.0000            0.154102
          23425.0000            0.148785
          23430.0000            0.139069
          23435.0000            0.132933
          23440.0000            0.126791
          23445.0000            0.122043
          23450.0000            0.115808
          23455.0000            0.110254
          23460.0000            0.105080
          23465.0000            0.099979
          23470.0000            0.095672
          23475.0000            0.091254
          23480.0000            0.086121
          23485.0000            0.083304
          23490.0000            0.079102
          23495.0000            0.075154
          23500.0000            0.071469
          23505.0000            0.068534
          23510.0000            0.065464
          23515.0000            0.061121
          23520.0000            0.059138
          23525.0000            0.056773
          23530.0000            0.053769
          23535.0000            0.051160
          23540.0000            0.049018
          23545.0000            0.047249
          23550.0000            0.044342
          23555.0000            0.042342
          23560.0000            0.040533
          23565.0000            0.038438
          23570.0000            0.036786
          23575.0000            0.034886
          23580.0000            0.033187
          23585.0000            0.031143
          23590.0000            0.030181
          23595.0000            0.028798
          23600.0000            0.027478
          23605.0000            0.025975
          23610.0000            0.025194
          23615.0000            0.024089
          23620.0000            0.022709
          23625.0000            0.021638
          23630.0000            0.020888
          23635.0000            0.019824
          23640.0000            0.018804
          23645.0000            0.018032
          23650.0000            0.017202
          23655.0000            0.016310
          23660.0000            0.015638
          23665.0000            0.015067
          23670.0000            0.014156
          23675.0000            0.013665
          23680.0000            0.013104
          23685.0000            0.012572
          23690.0000            0.012048
          23695.0000            0.011422
          23700.0000            0.010995
          23705.0000            0.010388
          23710.0000            0.009961
          23715.0000            0.009474
          23720.0000            0.009147
          23725.0000            0.008685
          23730.0000            0.008445
          23735.0000            0.008154
          23740.0000            0.007583
          23745.0000            0.007505
          23750.0000            0.007247
          23755.0000            0.006657
          23760.0000            0.006523
          23765.0000            0.006233
          23770.0000            0.005921
          23775.0000            0.005691
          23780.0000            0.005543
          23785.0000            0.005245
          23790.0000            0.005069
          23795.0000            0.004785
          23800.0000            0.004700
          23805.0000            0.004614
          23810.0000            0.004327
          23815.0000            0.004117
          23820.0000            0.004072
          23825.0000            0.003828
          23830.0000            0.003684
          23835.0000            0.003610
          23840.0000            0.003369
          23845.0000            0.003324
          23850.0000            0.003106
          23855.0000            0.003008
          23860.0000            0.002938
          23865.0000            0.002856
          23870.0000            0.002714
          23875.0000            0.002593
          23880.0000            0.002527
          23885.0000            0.002437
          23890.0000            0.002445
          23895.0000            0.002229
          23900.0000            0.002146
          23905.0000            0.002023
          23910.0000            0.002011
          23915.0000            0.001942
          23920.0000            0.001873
          23925.0000            0.001810
          23930.0000            0.001654
          23935.0000            0.001688
          23940.0000            0.001583
          23945.0000            0.001476
          23950.0000            0.001576
          23955.0000            0.001449
          23960.0000            0.001360
