#         Lambda    Transmission
           8524.5996            0.023076
           8530.7002            0.022888
           8536.7002            0.022324
           8542.7002            0.021925
           8548.7002            0.021528
           8554.7002            0.021401
           8560.7002            0.020847
           8566.7002            0.020350
           8572.7002            0.020121
           8578.7002            0.019999
           8584.7002            0.019297
           8590.7002            0.018810
           8596.7002            0.018640
           8602.7002            0.018367
           8608.7002            0.017834
           8614.7002            0.017979
           8620.7998            0.017553
           8626.7998            0.017389
           8632.7998            0.017327
           8638.7998            0.016857
           8644.7998            0.016287
           8650.7998            0.016077
           8656.7998            0.015918
           8662.7998            0.015659
           8668.7998            0.015452
           8674.7998            0.014896
           8680.7998            0.014642
           8686.7998            0.014539
           8692.7998            0.014140
           8698.7998            0.014038
           8704.7998            0.014182
           8710.9004            0.013395
           8716.9004            0.012810
           8722.9004            0.012907
           8728.9004            0.012569
           8734.9004            0.012473
           8740.9004            0.012474
           8746.9004            0.012188
           8752.9004            0.012189
           8758.9004            0.012189
           8764.9004            0.011670
           8770.9004            0.011437
           8776.9004            0.011252
           8782.9004            0.011115
           8788.9004            0.011071
           8794.9004            0.010935
           8801.0000            0.010384
           8807.0000            0.010435
           8813.0000            0.010531
           8819.0000            0.010261
           8825.0000            0.009992
           8831.0000            0.009817
           8837.0000            0.009597
           8843.0000            0.009378
           8849.0000            0.009251
           8855.0000            0.009124
           8861.0000            0.009087
           8867.0000            0.008784
           8873.0000            0.008309
           8879.0000            0.008318
           8885.0000            0.008065
           8891.0996            0.008161
           8897.0996            0.007868
           8903.0996            0.007748
           8909.0996            0.007415
           8915.0996            0.007426
           8921.0996            0.007437
           8927.0996            0.007236
           8933.0996            0.007247
           8939.0996            0.007132
           8945.0996            0.006892
           8951.0996            0.006945
           8957.0996            0.006583
           8963.0996            0.006472
           8969.0996            0.006443
           8975.0996            0.006210
           8981.2002            0.006263
           8987.2002            0.006316
           8993.2002            0.006248
           8999.2002            0.005898
           9005.2002            0.005992
           9011.2002            0.006045
           9017.2002            0.005860
           9023.2002            0.005598
           9029.2002            0.005102
           9035.2002            0.005197
           9041.2002            0.005212
           9047.2002            0.005227
           9053.2002            0.005050
           9059.2002            0.004796
           9065.2002            0.004584
           9071.2998            0.004486
           9077.2998            0.004428
           9083.2998            0.004821
           9089.2998            0.004687
           9095.2998            0.004403
           9101.2998            0.004383
           9107.2998            0.004399
           9113.2998            0.004341
           9119.2998            0.004321
           9125.2998            0.004154
           9131.2998            0.003917
           9137.2998            0.003826
           9143.2998            0.003771
           9149.2998            0.003860
           9155.2998            0.003912
           9161.4004            0.003928
           9167.4004            0.003768
           9173.4004            0.003539
           9179.4004            0.003312
           9185.4004            0.003538
           9191.4004            0.003348
           9197.4004            0.003193
           9203.4004            0.003074
           9209.4004            0.003161
           9215.4004            0.003246
           9221.4004            0.003229
           9227.4004            0.003246
           9233.4004            0.003029
           9239.4004            0.003212
           9245.4004            0.002898
           9251.4004            0.002883
           9257.5000            0.002672
           9263.5000            0.002657
           9269.5000            0.002997
           9275.5000            0.002693
           9281.5000            0.002646
           9287.5000            0.002663
           9293.5000            0.002491
           9299.5000            0.002508
           9305.5000            0.002806
           9311.5000            0.002604
           9317.5000            0.002435
           9323.5000            0.002452
           9329.5000            0.002347
           9335.5000            0.002364
           9341.5000            0.002169
           9347.5996            0.002306
           9353.5996            0.002263
           9359.5996            0.002368
           9365.5996            0.002236
           9371.5996            0.002311
           9377.5996            0.002181
           9383.5996            0.001965
           9389.5996            0.001810
           9395.5996            0.001399
           9401.5996            0.001844
           9407.5996            0.001494
           9413.5996            0.001709
           9419.5996            0.001365
           9425.5996            0.001107
           9431.5996            0.001375
           9437.7002            0.000847
           9443.7002            0.001249
           9449.7002            0.002400
           9455.7002            0.000938
           9461.7002            0.000559
           9467.7002            0.000635
           9473.7002            0.001418
           9479.7002            0.002087
           9485.7002            0.001996
           9491.7002            0.000772
           9497.7002            0.001457
           9503.7002            0.002108
           9509.7002            0.001942
           9515.7002            0.000927
           9521.7002            0.000647
           9527.7998            0.001458
           9533.7998            0.001374
           9539.7998            0.001243
           9545.7998            0.001476
           9551.7998            0.000913
           9557.7998            0.000692
           9563.7998            0.000640
           9569.7998            0.000588
           9575.7998            0.000047
           9581.7998            0.000626
           9587.7998            0.001380
           9593.7998            0.001165
           9599.7998            0.000408
           9605.7998            0.000832
           9611.7998            0.001027
           9617.9004            0.001263
           9623.9004            0.000769
           9629.9004            0.001069
           9635.9004            0.000649
           9641.9004            0.000408
           9647.9004            0.000319
           9653.9004            0.000613
           9659.9004            0.000629
           9665.9004            0.000644
           9671.9004            0.000763
           9677.9004            0.001043
           9683.9004            0.000689
           9689.9004            0.000342
           9695.9004            0.000100
           9701.9004            0.000138
           9708.0000            0.000353
           9714.0000            0.000427
           9720.0000            0.000231
           9726.0000            0.000153
           9732.0000            0.000662
           9738.0000            0.000787
           9744.0000            0.001003
